type,id,seller_id,amount,date,delta,best_candidate_order_ids,ai_explanation
UNRESOLVED_PAYOUT,PYT-00076,SLR-11,2273.55,2026-08-11,569.99,ORD-00229,"POSSIBLE EXPLANATION: This payout could not be explained within tolerance. A likely cause is a chargeback reversal credited back through this payout. This is a hypothesis, not a confirmed cause -- it should be investigated manually against the seller's payout statement and any manual adjustment logs."
UNRESOLVED_PAYOUT,PYT-00083,SLR-12,1155.66,2026-08-16,695.79,ORD-00247,"POSSIBLE EXPLANATION: This payout could not be explained within tolerance. A likely cause is a manual adjustment or correction not tied to any single order. This is a hypothesis, not a confirmed cause -- it should be investigated manually against the seller's payout statement and any manual adjustment logs."
UNRESOLVED_PAYOUT,PYT-00094,SLR-14,2814.93,2026-08-05,-2537.48,ORD-00284,"POSSIBLE EXPLANATION: This payout could not be explained within tolerance. A likely cause is a chargeback reversal credited back through this payout. This is a hypothesis, not a confirmed cause -- it should be investigated manually against the seller's payout statement and any manual adjustment logs."
UNRESOLVED_PAYOUT,PYT-00105,SLR-16,5357.81,2026-08-05,-144.37,ORD-00322;ORD-00326;ORD-00330;ORD-00334,"POSSIBLE EXPLANATION: This payout could not be explained within tolerance. A likely cause is one or more orders that have not yet appeared in the order ledger (late-arriving orders). This is a hypothesis, not a confirmed cause -- it should be investigated manually against the seller's payout statement and any manual adjustment logs."
UNRESOLVED_PAYOUT,PYT-00114,SLR-17,2163.25,2026-08-14,235.24,ORD-00349,"POSSIBLE EXPLANATION: This payout could not be explained within tolerance. A likely cause is a manual adjustment or correction not tied to any single order. This is a hypothesis, not a confirmed cause -- it should be investigated manually against the seller's payout statement and any manual adjustment logs."
UNRESOLVED_PAYOUT,PYT-00116,SLR-17,2972.65,2026-08-14,-460.11,ORD-00353,"POSSIBLE EXPLANATION: This payout could not be explained within tolerance. A likely cause is a manual adjustment or correction not tied to any single order. This is a hypothesis, not a confirmed cause -- it should be investigated manually against the seller's payout statement and any manual adjustment logs."
UNRESOLVED_PAYOUT,PYT-00121,SLR-18,1310.48,2026-08-08,-1310.48,,"POSSIBLE EXPLANATION: This payout could not be explained within tolerance. A likely cause is the orders that fund this payout not having arrived in the ledger yet. This is a hypothesis, not a confirmed cause -- it should be investigated manually against the seller's payout statement and any manual adjustment logs."
UNRESOLVED_PAYOUT,PYT-00127,SLR-19,1772.73,2026-08-14,790.01,ORD-00385,"POSSIBLE EXPLANATION: This payout could not be explained within tolerance. A likely cause is one or more orders that have not yet appeared in the order ledger (late-arriving orders). This is a hypothesis, not a confirmed cause -- it should be investigated manually against the seller's payout statement and any manual adjustment logs."
UNRESOLVED_PAYOUT,PYT-00128,SLR-19,690.21,2026-08-16,-690.21,,"POSSIBLE EXPLANATION: This payout could not be explained within tolerance. A likely cause is the orders that fund this payout not having arrived in the ledger yet. This is a hypothesis, not a confirmed cause -- it should be investigated manually against the seller's payout statement and any manual adjustment logs."
ORPHANED_ORDER,ORD-00004,SLR-01,957.29,2026-08-11,,,This order (net payable 957.29) has not been claimed by any payout -- it represents money owed to the seller that has not yet been settled.
ORPHANED_ORDER,ORD-00007,SLR-01,314.58,2026-08-11,,,This order (net payable 314.58) has not been claimed by any payout -- it represents money owed to the seller that has not yet been settled.
ORPHANED_ORDER,ORD-00020,SLR-01,1057.56,2026-08-04,,,This order (net payable 1057.56) has not been claimed by any payout -- it represents money owed to the seller that has not yet been settled.
ORPHANED_ORDER,ORD-00043,SLR-02,3786.38,2026-08-14,,,This order (net payable 3786.38) has not been claimed by any payout -- it represents money owed to the seller that has not yet been settled.
ORPHANED_ORDER,ORD-00045,SLR-03,117.82,2026-08-16,,,This order (net payable 117.82) has not been claimed by any payout -- it represents money owed to the seller that has not yet been settled.
ORPHANED_ORDER,ORD-00054,SLR-03,1247.09,2026-08-13,,,This order (net payable 1247.09) has not been claimed by any payout -- it represents money owed to the seller that has not yet been settled.
ORPHANED_ORDER,ORD-00055,SLR-03,1115.4,2026-08-14,,,This order (net payable 1115.40) has not been claimed by any payout -- it represents money owed to the seller that has not yet been settled.
ORPHANED_ORDER,ORD-00063,SLR-03,454.51,2026-08-10,,,This order (net payable 454.51) has not been claimed by any payout -- it represents money owed to the seller that has not yet been settled.
ORPHANED_ORDER,ORD-00084,SLR-04,1461.27,2026-08-05,,,This order (net payable 1461.27) has not been claimed by any payout -- it represents money owed to the seller that has not yet been settled.
ORPHANED_ORDER,ORD-00094,SLR-05,2282.3,2026-08-13,,,This order (net payable 2282.30) has not been claimed by any payout -- it represents money owed to the seller that has not yet been settled.
ORPHANED_ORDER,ORD-00095,SLR-05,3316.38,2026-08-10,,,This order (net payable 3316.38) has not been claimed by any payout -- it represents money owed to the seller that has not yet been settled.
ORPHANED_ORDER,ORD-00096,SLR-05,2275.35,2026-08-16,,,This order (net payable 2275.35) has not been claimed by any payout -- it represents money owed to the seller that has not yet been settled.
ORPHANED_ORDER,ORD-00097,SLR-05,3555.96,2026-08-14,,,This order (net payable 3555.96) has not been claimed by any payout -- it represents money owed to the seller that has not yet been settled.
ORPHANED_ORDER,ORD-00102,SLR-05,2742.48,2026-08-14,,,This order (net payable 2742.48) has not been claimed by any payout -- it represents money owed to the seller that has not yet been settled.
ORPHANED_ORDER,ORD-00107,SLR-06,541.59,2026-08-17,,,This order (net payable 541.59) has not been claimed by any payout -- it represents money owed to the seller that has not yet been settled.
ORPHANED_ORDER,ORD-00112,SLR-06,934.44,2026-08-13,,,This order (net payable 934.44) has not been claimed by any payout -- it represents money owed to the seller that has not yet been settled.
ORPHANED_ORDER,ORD-00114,SLR-06,1505.54,2026-08-14,,,This order (net payable 1505.54) has not been claimed by any payout -- it represents money owed to the seller that has not yet been settled.
ORPHANED_ORDER,ORD-00120,SLR-06,295.95,2026-08-14,,,This order (net payable 295.95) has not been claimed by any payout -- it represents money owed to the seller that has not yet been settled.
ORPHANED_ORDER,ORD-00124,SLR-06,529.35,2026-08-15,,,This order (net payable 529.35) has not been claimed by any payout -- it represents money owed to the seller that has not yet been settled.
ORPHANED_ORDER,ORD-00138,SLR-07,3333.69,2026-08-10,,,This order (net payable 3333.69) has not been claimed by any payout -- it represents money owed to the seller that has not yet been settled.
ORPHANED_ORDER,ORD-00151,SLR-08,3013.98,2026-08-10,,,This order (net payable 3013.98) has not been claimed by any payout -- it represents money owed to the seller that has not yet been settled.
ORPHANED_ORDER,ORD-00175,SLR-09,2072.22,2026-08-07,,,This order (net payable 2072.22) has not been claimed by any payout -- it represents money owed to the seller that has not yet been settled.
ORPHANED_ORDER,ORD-00176,SLR-09,1501.58,2026-08-14,,,This order (net payable 1501.58) has not been claimed by any payout -- it represents money owed to the seller that has not yet been settled.
ORPHANED_ORDER,ORD-00181,SLR-09,2866.13,2026-08-06,,,This order (net payable 2866.13) has not been claimed by any payout -- it represents money owed to the seller that has not yet been settled.
ORPHANED_ORDER,ORD-00201,SLR-10,3656.05,2026-08-06,,,This order (net payable 3656.05) has not been claimed by any payout -- it represents money owed to the seller that has not yet been settled.
ORPHANED_ORDER,ORD-00211,SLR-10,3447.14,2026-08-15,,,This order (net payable 3447.14) has not been claimed by any payout -- it represents money owed to the seller that has not yet been settled.
ORPHANED_ORDER,ORD-00215,SLR-11,2273.55,2026-08-13,,,This order (net payable 2273.55) has not been claimed by any payout -- it represents money owed to the seller that has not yet been settled.
ORPHANED_ORDER,ORD-00219,SLR-11,4415.75,2026-08-05,,,This order (net payable 4415.75) has not been claimed by any payout -- it represents money owed to the seller that has not yet been settled.
ORPHANED_ORDER,ORD-00225,SLR-11,1513.33,2026-08-07,,,This order (net payable 1513.33) has not been claimed by any payout -- it represents money owed to the seller that has not yet been settled.
ORPHANED_ORDER,ORD-00229,SLR-11,2843.54,2026-08-09,,,This order (net payable 2843.54) has not been claimed by any payout -- it represents money owed to the seller that has not yet been settled.
ORPHANED_ORDER,ORD-00230,SLR-11,3656.08,2026-08-06,,,This order (net payable 3656.08) has not been claimed by any payout -- it represents money owed to the seller that has not yet been settled.
ORPHANED_ORDER,ORD-00231,SLR-11,2927.85,2026-08-06,,,This order (net payable 2927.85) has not been claimed by any payout -- it represents money owed to the seller that has not yet been settled.
ORPHANED_ORDER,ORD-00247,SLR-12,1851.45,2026-08-13,,,This order (net payable 1851.45) has not been claimed by any payout -- it represents money owed to the seller that has not yet been settled.
ORPHANED_ORDER,ORD-00249,SLR-13,1440.04,2026-08-07,,,This order (net payable 1440.04) has not been claimed by any payout -- it represents money owed to the seller that has not yet been settled.
ORPHANED_ORDER,ORD-00254,SLR-13,1620.76,2026-08-16,,,This order (net payable 1620.76) has not been claimed by any payout -- it represents money owed to the seller that has not yet been settled.
ORPHANED_ORDER,ORD-00259,SLR-13,1129.76,2026-08-17,,,This order (net payable 1129.76) has not been claimed by any payout -- it represents money owed to the seller that has not yet been settled.
ORPHANED_ORDER,ORD-00264,SLR-13,189.83,2026-08-15,,,This order (net payable 189.83) has not been claimed by any payout -- it represents money owed to the seller that has not yet been settled.
ORPHANED_ORDER,ORD-00266,SLR-13,1840.43,2026-08-15,,,This order (net payable 1840.43) has not been claimed by any payout -- it represents money owed to the seller that has not yet been settled.
ORPHANED_ORDER,ORD-00284,SLR-14,277.45,2026-08-03,,,This order (net payable 277.45) has not been claimed by any payout -- it represents money owed to the seller that has not yet been settled.
ORPHANED_ORDER,ORD-00303,SLR-15,320.64,2026-08-05,,,This order (net payable 320.64) has not been claimed by any payout -- it represents money owed to the seller that has not yet been settled.
ORPHANED_ORDER,ORD-00314,SLR-15,699.82,2026-08-13,,,This order (net payable 699.82) has not been claimed by any payout -- it represents money owed to the seller that has not yet been settled.
ORPHANED_ORDER,ORD-00315,SLR-15,2508.75,2026-08-02,,,This order (net payable 2508.75) has not been claimed by any payout -- it represents money owed to the seller that has not yet been settled.
ORPHANED_ORDER,ORD-00322,SLR-16,1541.66,2026-08-05,,,This order (net payable 1541.66) has not been claimed by any payout -- it represents money owed to the seller that has not yet been settled.
ORPHANED_ORDER,ORD-00323,SLR-16,1686.03,2026-08-07,,,This order (net payable 1686.03) has not been claimed by any payout -- it represents money owed to the seller that has not yet been settled.
ORPHANED_ORDER,ORD-00326,SLR-16,571.76,2026-08-05,,,This order (net payable 571.76) has not been claimed by any payout -- it represents money owed to the seller that has not yet been settled.
ORPHANED_ORDER,ORD-00327,SLR-16,1302.61,2026-08-08,,,This order (net payable 1302.61) has not been claimed by any payout -- it represents money owed to the seller that has not yet been settled.
ORPHANED_ORDER,ORD-00331,SLR-16,1831.36,2026-08-10,,,This order (net payable 1831.36) has not been claimed by any payout -- it represents money owed to the seller that has not yet been settled.
ORPHANED_ORDER,ORD-00334,SLR-16,2991.93,2026-08-03,,,This order (net payable 2991.93) has not been claimed by any payout -- it represents money owed to the seller that has not yet been settled.
ORPHANED_ORDER,ORD-00349,SLR-17,2398.49,2026-08-05,,,This order (net payable 2398.49) has not been claimed by any payout -- it represents money owed to the seller that has not yet been settled.
ORPHANED_ORDER,ORD-00353,SLR-17,2512.54,2026-08-03,,,This order (net payable 2512.54) has not been claimed by any payout -- it represents money owed to the seller that has not yet been settled.
ORPHANED_ORDER,ORD-00371,SLR-18,3586.89,2026-08-13,,,This order (net payable 3586.89) has not been claimed by any payout -- it represents money owed to the seller that has not yet been settled.
ORPHANED_ORDER,ORD-00383,SLR-19,3274.5,2026-08-16,,,This order (net payable 3274.50) has not been claimed by any payout -- it represents money owed to the seller that has not yet been settled.
ORPHANED_ORDER,ORD-00385,SLR-19,2562.74,2026-08-08,,,This order (net payable 2562.74) has not been claimed by any payout -- it represents money owed to the seller that has not yet been settled.
ORPHANED_ORDER,ORD-00406,SLR-20,2456.89,2026-08-08,,,This order (net payable 2456.89) has not been claimed by any payout -- it represents money owed to the seller that has not yet been settled.
